stepCount,Block1:MasterBedroomZoneNumberOfOccupants,Block1:MasterBedroomZoneAirRelativeHumidity,Block1:MasterBedroomAverageGains,Block1:MasterBedroomZoneWindowState,Block1:MasterBedroomZoneMeanAirTemperature,EMSepTimeStep,Block1:MasterBedroomDaylightingReferencePoint1Illuminance,Block1:MasterBedroomZoneMeanRadiantTemperature,EMSwarmUpComplete,EnvironmentSiteOutdoorAirDrybulbTemperature,EnvironmentSiteRainStatus,EnvironmentSiteExteriorHorizontalSkyIlluminance
0,0.00000,75.35835,0.00000,0.00000,21.01392,,,20.74381,,0.00000,0.00000,200.00000
1,,,43.24559,,20.74477,,,20.47633,,18.27632,,
2,,,43.92864,,20.71153,,,20.96265,,,,
3,,,43.51136,,21.21081,,,19.84455,,,,
4,,,43.79823,,19.88044,,,18.25552,,,,
5,,,47.40595,,21.28854,,,21.47950,,,,
6,,,42.09811,,21.93400,,,20.53402,,,,
7,,,41.98275,,19.48258,,,19.03676,,,,
8,,,47.28324,,20.86115,,,21.20425,,,,
9,,,43.04147,,18.66825,,,19.91350,,,,
10,,,47.70028,,19.38336,,,18.94452,,,,
11,,,47.52512,,21.76301,,,19.24790,,,,
12,,,43.48742,,21.13646,,,20.49237,,,,
13,,,43.29403,,21.45143,,,21.60225,,,,
14,,,41.72011,,18.28974,,,20.32144,,,,
15,,,47.88627,,18.05554,,,20.26525,,,,
16,,,48.29764,,20.06492,,,20.67855,,,,
17,,,44.80022,,18.42590,,,19.96581,,,,
18,,,48.02128,,21.25938,,,21.31814,,,,
19,,,42.30099,,20.91000,,,21.94910,,,,
20,,,42.23987,,19.27581,,,20.42352,,,,
21,,,46.27271,,18.68128,,,19.52100,,,,
22,,,48.05735,,18.90438,,,21.85052,,,,
23,,,45.45808,,18.66719,,,18.81520,,,,
24,,,48.75383,,18.81972,,,18.26578,,,,
25,,,49.04153,,19.50709,,,20.50551,,,,
26,,,45.83545,,18.65961,,,20.19507,,,,
27,,,47.44220,,20.69663,,,20.82272,,,,
28,,,43.67017,,19.90972,,,19.20196,,,,
29,,,46.46071,,21.88617,,,21.37706,,,,
30,,,41.24516,,21.21468,,,18.97613,,,,
31,,,44.62054,,21.78160,,,20.80124,,,,
32,,,41.96928,,18.46357,,,19.17460,,,,
33,,,48.72309,,18.62450,,,21.47804,,,,
34,,,46.25126,,20.32074,,,18.92556,,,,
35,,,46.08065,,18.14543,,,20.77412,,,,
36,,,47.66792,,18.77857,,,18.38338,,,,
37,,,48.99330,,18.34189,,,20.35358,,,,
38,,,47.77554,,21.26776,,,20.71212,,,,
39,,,42.87391,,20.65709,,,19.41577,,,,
40,,,45.08426,,18.61362,,,21.32967,,,,
41,,,46.41258,,20.02488,,,19.22497,,,,
42,,,46.25885,,19.45303,,,20.97431,,,,
43,,,45.46543,,21.92061,,,19.51085,,,,
44,,,42.98432,,18.52811,,,18.55885,,,,
45,,,49.21149,,19.04992,,,21.19202,,,,
46,,,45.87654,,20.36913,,,20.44743,,,,
47,,,44.54719,,18.27380,,,21.09427,,,,
48,,,47.16115,,20.11399,,,21.86378,,,,
49,,,43.57221,,20.49433,,,21.48397,,,,
50,,,43.34706,,20.85907,,,21.87650,,,,
51,,,42.39102,,19.80118,,,18.45331,,,,
52,,,47.34229,,20.93266,,,18.17804,,,,
53,,,45.82401,,19.91137,,,18.41874,,,,
54,,,47.20304,,18.74424,,,21.43900,,,,
55,,,46.10583,,19.40561,,,18.87186,,,,
56,,,47.55984,,20.49404,,,21.33759,,,,
57,,,43.48979,,18.33252,,,18.67286,,,,
58,,,49.40268,,18.37500,,,18.20139,,,,
59,,,49.78578,,20.15283,,,20.69900,,,,
60,,,44.64309,,19.29926,,,19.58687,,,,
61,,,47.04142,,21.59152,,,18.01802,,,,
62,,,44.92616,,19.36928,,,20.74229,,,,
63,,,45.81992,,21.64922,,,21.79116,,,,
64,,,41.22145,,18.93518,,,20.78325,,,,
65,,,46.45004,,18.29855,,,18.64433,,,,
66,,,49.48183,,19.95872,,,19.66770,,,,
67,,,45.93885,,21.15630,,,21.63955,,,,
68,,,42.15216,,19.39606,,,18.56887,,,,
69,,,47.86284,,20.62118,,,19.47042,,,,
70,,,45.08865,,,,,,,,,
