,stepCount,minuteOfDay,hourOfDay,day,hour,TimeStep,month,grid_received,grid_cost,grid_power,nsim
0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,1,127.0,2.0,1491308.0,35791392.0,1.0,12.0,0.0,0.0,0.0,0
2,2,127.0,2.0,1491308.0,35791392.0,2.0,12.0,0.0,0.0,0.0,0
3,3,127.0,2.0,1491308.0,35791392.0,3.0,12.0,0.0,0.0,0.0,0
4,4,127.0,2.0,1491308.0,35791392.0,4.0,12.0,0.0,0.0,0.0,0
5,5,127.0,2.0,1491308.0,35791392.0,5.0,12.0,0.0,0.0,0.0,0
6,6,127.0,2.0,1491308.0,35791392.0,6.0,12.0,0.0,0.0,0.0,0
7,7,127.0,2.0,1491308.0,35791392.0,7.0,12.0,0.0,0.0,0.0,0
8,8,127.0,2.0,1491308.0,35791392.0,8.0,12.0,0.0,0.0,0.0,0
9,9,127.0,2.0,1491308.0,35791392.0,9.0,12.0,0.0,0.0,0.0,0
10,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
11,1,127.0,2.0,1491308.0,35791392.0,1.0,12.0,0.0,0.0,0.0,1
12,2,127.0,2.0,1491308.0,35791392.0,2.0,12.0,0.0,0.0,0.0,1
13,3,127.0,2.0,1491308.0,35791392.0,3.0,12.0,0.0,0.0,0.0,1
14,4,127.0,2.0,1491308.0,35791392.0,4.0,12.0,0.0,0.0,0.0,1
15,5,127.0,2.0,1491308.0,35791392.0,5.0,12.0,0.0,0.0,0.0,1
16,6,127.0,2.0,1491308.0,35791392.0,6.0,12.0,0.0,0.0,0.0,1
17,7,127.0,2.0,1491308.0,35791392.0,7.0,12.0,0.0,0.0,0.0,1
18,8,127.0,2.0,1491308.0,35791392.0,8.0,12.0,0.0,0.0,0.0,1
19,9,127.0,2.0,1491308.0,35791392.0,9.0,12.0,0.0,0.0,0.0,1
20,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
21,1,127.0,2.0,1491308.0,35791392.0,1.0,12.0,0.0,0.0,0.0,2
22,2,127.0,2.0,1491308.0,35791392.0,2.0,12.0,0.0,0.0,0.0,2
23,3,127.0,2.0,1491308.0,35791392.0,3.0,12.0,0.0,0.0,0.0,2
24,4,127.0,2.0,1491308.0,35791392.0,4.0,12.0,0.0,0.0,0.0,2
25,5,127.0,2.0,1491308.0,35791392.0,5.0,12.0,0.0,0.0,0.0,2
26,6,127.0,2.0,1491308.0,35791392.0,6.0,12.0,0.0,0.0,0.0,2
27,7,127.0,2.0,1491308.0,35791392.0,7.0,12.0,0.0,0.0,0.0,2
28,8,127.0,2.0,1491308.0,35791392.0,8.0,12.0,0.0,0.0,0.0,2
29,9,127.0,2.0,1491308.0,35791392.0,9.0,12.0,0.0,0.0,0.0,2
30,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
31,1,127.0,2.0,1491308.0,35791392.0,1.0,12.0,0.0,0.0,0.0,3
32,2,127.0,2.0,1491308.0,35791392.0,2.0,12.0,0.0,0.0,0.0,3
33,3,127.0,2.0,1491308.0,35791392.0,3.0,12.0,0.0,0.0,0.0,3
34,4,127.0,2.0,1491308.0,35791392.0,4.0,12.0,0.0,0.0,0.0,3
35,5,127.0,2.0,1491308.0,35791392.0,5.0,12.0,0.0,0.0,0.0,3
36,6,127.0,2.0,1491308.0,35791392.0,6.0,12.0,0.0,0.0,0.0,3
37,7,127.0,2.0,1491308.0,35791392.0,7.0,12.0,0.0,0.0,0.0,3
38,8,127.0,2.0,1491308.0,35791392.0,8.0,12.0,0.0,0.0,0.0,3
39,9,127.0,2.0,1491308.0,35791392.0,9.0,12.0,0.0,0.0,0.0,3
